class,precision,recall,f1-score,support,Category,patch_size,data_type
macro avg,0.940362699578706,0.936279814744208,0.9377132784632959,26602.0,Conifer vs Broadleaf,7,validation
weighted avg,0.9391519432060432,0.9382377264867303,0.9380939920632655,26602.0,Conifer vs Broadleaf,7,validation
Pine,0.6766502463054187,0.8087611869995289,0.7368308121446197,4246.0,Conifer,7,validation
Nut Pine,0.7489672704162694,0.5866102538576407,0.657920446615492,4018.0,Conifer,7,validation
Larch,0.9596568090543994,0.9670713760117734,0.9633498259116731,5436.0,Conifer,7,validation
accuracy,0.8064233576642336,0.8064233576642336,0.8064233576642336,0.8064233576642336,Conifer,7,validation
macro avg,0.7950914419253624,0.7874809389563143,0.7860336948905949,13700.0,Conifer,7,validation
weighted avg,0.8101534198806638,0.8064233576642336,0.8035677106951064,13700.0,Conifer,7,validation
Mongolian Oak,0.6989342806394316,0.7888406281323087,0.7411709307800973,5986.0,Broadleaf,7,validation
Oriental Oak,0.7192982456140351,0.6142613313104495,0.6626432078559739,5273.0,Broadleaf,7,validation
accuracy,0.707078781419309,0.707078781419309,0.707078781419309,0.707078781419309,Broadleaf,7,validation
macro avg,0.7091162631267334,0.701550979721379,0.7019070693180356,11259.0,Broadleaf,7,validation
weighted avg,0.7084714675397855,0.707078781419309,0.7043935364307854,11259.0,Broadleaf,7,validation
Non-Forest,0.9729222634429235,0.9435897435897436,0.9580315340849447,24180.0,Overall,9,train_data
Pine,0.7428108772125747,0.7029326287978864,0.7223217679318021,18925.0,Overall,9,train_data
Nut Pine,0.8158975361752053,0.6272078166102969,0.7092168444312242,13305.0,Overall,9,train_data
Larch,0.8377656190355007,0.8679527178450587,0.8525920490352656,22757.0,Overall,9,train_data
Mongolian Oak,0.6494617904660025,0.8225232853513971,0.7258191056151231,23620.0,Overall,9,train_data
Oriental Oak,0.605983124520583,0.5285459411239964,0.5646217986896962,17936.0,Overall,9,train_data
accuracy,0.7713857342842706,0.7713857342842706,0.7713857342842706,0.7713857342842706,Overall,9,train_data
macro avg,0.7708068684754651,0.74879202221973,0.755433849964676,120723.0,Overall,9,train_data
weighted avg,0.7762622359012618,0.7713857342842706,0.7698997969174383,120723.0,Overall,9,train_data
Conifer,0.959731941643933,0.8921004759192224,0.9246812117287418,54421.0,Conifer vs Broadleaf,9,train_data
Broadleaf,0.8704381977847403,0.9509002820160533,0.9088919351680126,41487.0,Conifer vs Broadleaf,9,train_data
accuracy,0.9175355549067856,0.9175355549067856,0.9175355549067856,0.9175355549067856,Conifer vs Broadleaf,9,train_data
macro avg,0.9150850697143367,0.9215003789676378,0.9167865734483772,95908.0,Conifer vs Broadleaf,9,train_data
weighted avg,0.9211060756944155,0.9175355549067856,0.9178512317825956,95908.0,Conifer vs Broadleaf,9,train_data
Pine,0.7729359130788449,0.8526470965260864,0.8108371681955323,15602.0,Conifer,9,train_data
Nut Pine,0.8282056371576022,0.6737445502987244,0.7430326774107381,12386.0,Conifer,9,train_data
Larch,0.928981281158875,0.9606536647050241,0.9445520407431318,20561.0,Conifer,9,train_data
accuracy,0.8527467095099797,0.8527467095099797,0.8527467095099797,0.8527467095099797,Conifer,9,train_data
macro avg,0.8433742771317742,0.8290151038432784,0.8328072954498008,48549.0,Conifer,9,train_data
weighted avg,0.8531233446538102,0.8527467095099797,0.8501682578490933,48549.0,Conifer,9,train_data
Mongolian Oak,0.7354355150092743,0.8453940211479047,0.7865905502247055,22981.0,Broadleaf,9,train_data
Oriental Oak,0.7273843320801043,0.5756269354544903,0.6426682936750051,16469.0,Broadleaf,9,train_data
accuracy,0.7327756653992396,0.7327756653992396,0.7327756653992396,0.7327756653992396,Broadleaf,9,train_data
macro avg,0.7314099235446894,0.7105104783011975,0.7146294219498552,39450.0,Broadleaf,9,train_data
weighted avg,0.7320744267542553,0.7327756653992396,0.7265080244169232,39450.0,Broadleaf,9,train_data
Non-Forest,0.9597873047524095,0.9182829888712242,0.9385765355866104,3145.0,Overall,9,validation
